	Mlp124466	Mlp123227	Mlp123218	Mlp102036	Mlp106078	Mlp124499	Mlp124497	Mlp124518	Mlp37347	Mlp123531	Mlp72983	Mlp124357	Mlp124266	Mlp124256	Pathway name	Pathway ID
AT3G17690	0	0	0	0	0	0	-2.660429735	-2.18333557	0	-2.32557572	-2.21948431	0	-2.447113395	-2.164860807	Plant-pathogen interaction	path:ath04626
AT3G45640	0	0	0	0	0	0	0	0	0	-2.031335092	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT3G47480	0	0	0	0	0	0	-2.22816591	0	-2.195495581	0	-2.171040414	0	-2.672230167	-2.058546549	Plant-pathogen interaction	path:ath04626
AT3G48080	0	0	-4.377255148	-4.432070129	0	0	-2.121676157	0	0	-4.696298186	-4.43246827	0	-2.3054722	0	Plant-pathogen interaction	path:ath04626
AT3G50770	0	0	0	0	0	0	-2.526173591	0	-2.478704108	-2.550664193	-3.125631277	0	-3.144188126	-2.152864029	Plant-pathogen interaction	path:ath04626
AT4G01010	0	0	0	0	0	0	-2.406498496	0	0	-2.147567904	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT4G14640	0	0	0	0	0	0	-2.028814612	0	0	-2.439588275	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT4G20780	0	0	0	0	0	-2.92597051	0	0	0	0	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT4G39090	0	0	0	0	0	0	0	2.335944216	0	0	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT5G42380	0	-2.356181447	-2.280334862	-2.064365305	0	-2.590626151	-3.48447946	-2.249076037	-3.042623749	-3.430916881	-2.423774681	0	-2.831078879	-3.129753968	Plant-pathogen interaction	path:ath04626
AT5G47910	0	0	0	0	0	0	0	0	0	0	-2.026360888	0	-2.239444767	0	Plant-pathogen interaction	path:ath04626
AT5G49480	0	0	0	0	0	-3.114882222	0	-2.299565596	-2.098802372	-2.01460085	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT5G51060	0	0	0	0	0	-2.187050839	0	-2.009849652	0	-2.079814268	0	0	0	0	Plant-pathogen interaction	path:ath04626
AT5G52640	0	-2.388896854	0	-2.108998032	0	0	-2.195345342	-2.314509311	-2.343217052	-2.843610784	-2.386633694	0	-2.440161206	-2.082392803	Plant-pathogen interaction	path:ath04626
AT1G01060	0	0	-3.208810273	0	-2.127720212	-2.278878293	-3.991386168	-2.524379546	-3.776479685	-3.836168138	-2.20660277	0	-2.553035476	-2.963984477	Circadian rhythm - plant	path:ath04712
AT1G22770	0	0	0	0	0	2.225370397	0	2.302814917	0	0	2.023628659	2.239315617	2.180373085	0	Circadian rhythm - plant	path:ath04712
AT1G65480	0	-2.190800222	0	0	0	-2.307451697	0	0	0	0	-2.256721787	0	-2.448259785	0	Circadian rhythm - plant	path:ath04712
AT1G68050	0	0	2.123255692	0	0	2.62678271	2.084287237	2.580465601	0	0	0	2.745800526	2.617283197	2.183567769	Circadian rhythm - plant	path:ath04712
AT2G46830	0	0	-3.083243754	0	0	-2.323601522	-2.622052229	0	-2.761774905	-3.23588363	0	0	0	-2.227246918	Circadian rhythm - plant	path:ath04712
AT3G17609	0	-2.549462566	-2.952701484	-2.860291137	-2.00342081	-3.520632036	-3.258779158	-3.707810999	-3.882667018	-3.928861163	-2.576864794	0	-2.708947604	-2.728327893	Circadian rhythm - plant	path:ath04712
AT5G11260	0	0	0	0	0	0	0	0	-2.090729228	-2.357409994	0	0	0	0	Circadian rhythm - plant	path:ath04712
AT5G23730	0	0	-2.058167943	0	0	-2.106334271	0	-2.204556506	0	0	0	0	-2.164432622	-2.042757414	Circadian rhythm - plant	path:ath04712
AT5G24470	0	3.010566362	2.887545582	3.05416761	2.697392621	2.933398385	3.070457499	3.347337417	2.547298423	2.758215445	3.018382841	3.451694265	3.73351392	2.97420037	Circadian rhythm - plant	path:ath04712
AT5G52250	0	0	0	0	0	0	0	0	0	-2.017813614	0	0	0	0	Circadian rhythm - plant	path:ath04712
AT5G60100	0	2.586879148	3.83524406	3.489960984	2.007061928	3.310469818	2.32904864	3.375775008	0	2.943652258	3.228949133	3.494221871	3.258845487	2.777651494	Circadian rhythm - plant	path:ath04712
AT5G61380	0	0	0	0	0	0	0	0	0	0	0	2.015059134	0	0	Circadian rhythm - plant	path:ath04712
AT5G62430	0	0	0	0	0	0	0	0	-2.201748679	0	0	0	0	0	Circadian rhythm - plant	path:ath04712
